"relative_key (no ext, '.baseline' normalized away in JSON)",has_MD,has_JSON
01_edge_cases/00_no_headings,True,True
01_edge_cases/01_hash_in_code_fence,True,True
01_edge_cases/02_indented_four_spaces,True,True
01_edge_cases/03_indented_tab,True,True
01_edge_cases/04_escaped_hash,True,True
01_edge_cases/05_missing_space_after_hash,True,True
01_edge_cases/06_nbsp_after_hash,True,True
01_edge_cases/07_fullwidth_hash,True,True
01_edge_cases/08_hash_in_table_cell,True,True
01_edge_cases/09_hash_in_inline_code,True,True
01_edge_cases/10_hash_mid_paragraph,True,True
01_edge_cases/11_mixed_legit_and_traps,True,True
01_edge_cases/12_heading_in_blockquote,True,True
01_edge_cases/13_heading_in_list_item,True,True
01_edge_cases/14_setext_valid,True,True
01_edge_cases/15_setext_table_conflict,True,True
01_edge_cases/16_unclosed_fence_followed_by_hashes,True,True
01_edge_cases/17_three_space_indent_valid,True,True
01_edge_cases/18_four_space_indent_invalid,True,True
01_edge_cases/19_trailing_hashes_legit,True,True
01_edge_cases/20_heading_is_only_link,True,True
01_edge_cases/21_whitespace_only_after_hash,True,True
01_edge_cases/22_html_h1_not_markdown,True,True
01_edge_cases/23_yaml_block_with_hashes,True,True
01_edge_cases/24_hash_not_at_bol,True,True
01_edge_cases/25_mixed_nbsp_and_spaces,True,True
01_edge_cases/26_setext_one_dash_valid,True,True
01_edge_cases/27_heading_then_continuation_text,True,True
01_edge_cases/28_too_many_hashes,True,True
01_edge_cases/29_list_text_hash_at_start_of_item,True,True
01_edge_cases/admonitions_01,True,True
01_edge_cases/admonitions_02,True,True
01_edge_cases/admonitions_03,True,True
01_edge_cases/admonitions_04,True,True
01_edge_cases/admonitions_05,True,True
01_edge_cases/clean_01,True,True
01_edge_cases/clean_02,True,True
01_edge_cases/clean_03,True,True
01_edge_cases/clean_04,True,True
01_edge_cases/clean_05,True,True
01_edge_cases/code_01,True,True
01_edge_cases/code_02,True,True
01_edge_cases/code_03,True,True
01_edge_cases/code_04,True,True
01_edge_cases/code_05,True,True
01_edge_cases/fake_01_single_line_inline,True,True
01_edge_cases/fake_02_not_at_bof,True,True
01_edge_cases/fake_03_inside_code_fence,True,True
01_edge_cases/fake_04_horizontal_rule,True,True
01_edge_cases/fake_05_setext_underline,True,True
01_edge_cases/fake_06_unterminated,True,True
01_edge_cases/fake_07_wrong_closing_marker,True,True
01_edge_cases/fake_08_wrong_opening_marker,True,True
01_edge_cases/fake_09_trailing_spaces,True,True
01_edge_cases/fake_10_tab_after_fence,True,True
01_edge_cases/fake_11_toml_frontmatter,True,True
01_edge_cases/fake_12_json_frontmatter,True,True
01_edge_cases/footnotes_01,True,True
01_edge_cases/footnotes_02,True,True
01_edge_cases/footnotes_03,True,True
01_edge_cases/footnotes_04,True,True
01_edge_cases/footnotes_05,True,True
01_edge_cases/frontmatter_01,True,True
01_edge_cases/frontmatter_02,True,True
01_edge_cases/frontmatter_03,True,True
01_edge_cases/frontmatter_04,True,True
01_edge_cases/frontmatter_05,True,True
01_edge_cases/html_01,True,True
01_edge_cases/html_02,True,True
01_edge_cases/html_03,True,True
01_edge_cases/html_04,True,True
01_edge_cases/html_05,True,True
01_edge_cases/images_01,True,True
01_edge_cases/images_02,True,True
01_edge_cases/images_03,True,True
01_edge_cases/images_04,True,True
01_edge_cases/images_05,True,True
01_edge_cases/linklab_01,True,True
01_edge_cases/linklab_02,True,True
01_edge_cases/linklab_03,True,True
01_edge_cases/linklab_04,True,True
01_edge_cases/linklab_05,True,True
01_edge_cases/math_01,True,True
01_edge_cases/math_02,True,True
01_edge_cases/math_03,True,True
01_edge_cases/math_04,True,True
01_edge_cases/math_05,True,True
01_edge_cases/quotes_01,True,True
01_edge_cases/quotes_02,True,True
01_edge_cases/quotes_03,True,True
01_edge_cases/quotes_04,True,True
01_edge_cases/quotes_05,True,True
01_edge_cases/tables_01,True,True
01_edge_cases/tables_02,True,True
01_edge_cases/tables_03,True,True
01_edge_cases/tables_04,True,True
01_edge_cases/tables_05,True,True
01_edge_cases/tasks_01,True,True
01_edge_cases/tasks_02,True,True
01_edge_cases/tasks_03,True,True
01_edge_cases/tasks_04,True,True
01_edge_cases/tasks_05,True,True
01_edge_cases/valid_01_simple,True,True
01_edge_cases/valid_02_list_numbers,True,True
01_edge_cases/valid_03_comments,True,True
01_edge_cases/valid_04_block_scalar_literal,True,True
01_edge_cases/valid_05_block_scalar_folded,True,True
01_edge_cases/valid_06_nested_mapping,True,True
01_edge_cases/valid_07_ellipsis_close,True,True
01_edge_cases/valid_08_anchors_aliases,True,True
01_edge_cases/valid_09_type_tag_str,True,True
01_edge_cases/valid_10_bom,True,True
01_edge_cases/valid_11_multiline_list,True,True
01_edge_cases/valid_12_dates,True,True
02_stress_pandoc/pandoc_features__case_01,True,True
02_stress_pandoc/pandoc_features__case_02,True,True
02_stress_pandoc/pandoc_features__case_03,True,True
02_stress_pandoc/pandoc_features__case_04,True,True
02_stress_pandoc/pandoc_features__case_05,True,True
02_stress_pandoc/pandoc_features__case_06,True,True
02_stress_pandoc/pandoc_features__case_07,True,True
02_stress_pandoc/pandoc_features__case_08,True,True
02_stress_pandoc/pandoc_features__case_09,True,True
02_stress_pandoc/pandoc_features__case_10,True,True
02_stress_pandoc/pandoc_features__case_11,True,True
02_stress_pandoc/pandoc_features__case_12,True,True
02_stress_pandoc/pandoc_features__case_13,True,True
02_stress_pandoc/pandoc_features__case_14,True,True
02_stress_pandoc/pandoc_features__case_15,True,True
02_stress_pandoc/pandoc_features__case_16,True,True
02_stress_pandoc/pandoc_features__case_17,True,True
02_stress_pandoc/pandoc_features__case_18,True,True
02_stress_pandoc/pandoc_features__case_19,True,True
02_stress_pandoc/pandoc_features__case_20,True,True
02_stress_pandoc/pandoc_features__case_21,True,True
02_stress_pandoc/pandoc_features__case_22,True,True
02_stress_pandoc/pandoc_features__case_23,True,True
02_stress_pandoc/pandoc_features__case_24,True,True
02_stress_pandoc/pandoc_features__case_25,True,True
02_stress_pandoc/pandoc_features__case_26,True,True
02_stress_pandoc/pandoc_features__case_27,True,True
02_stress_pandoc/pandoc_features__case_28,True,True
02_stress_pandoc/pandoc_features__case_29,True,True
02_stress_pandoc/pandoc_features__case_30,True,True
03_stress_overlapping/overlapping__case_01,True,True
03_stress_overlapping/overlapping__case_02,True,True
03_stress_overlapping/overlapping__case_03,True,True
03_stress_overlapping/overlapping__case_04,True,True
03_stress_overlapping/overlapping__case_05,True,True
03_stress_overlapping/overlapping__case_06,True,True
03_stress_overlapping/overlapping__case_07,True,True
03_stress_overlapping/overlapping__case_08,True,True
03_stress_overlapping/overlapping__case_09,True,True
03_stress_overlapping/overlapping__case_10,True,True
03_stress_overlapping/overlapping__case_11,True,True
03_stress_overlapping/overlapping__case_12,True,True
03_stress_overlapping/overlapping__case_13,True,True
03_stress_overlapping/overlapping__case_14,True,True
03_stress_overlapping/overlapping__case_15,True,True
03_stress_overlapping/overlapping__case_16,True,True
03_stress_overlapping/overlapping__case_17,True,True
03_stress_overlapping/overlapping__case_18,True,True
03_stress_overlapping/overlapping__case_19,True,True
03_stress_overlapping/overlapping__case_20,True,True
03_stress_overlapping/overlapping__case_21,True,True
03_stress_overlapping/overlapping__case_22,True,True
03_stress_overlapping/overlapping__case_23,True,True
03_stress_overlapping/overlapping__case_24,True,True
03_stress_overlapping/overlapping__case_25,True,True
03_stress_overlapping/overlapping__case_26,True,True
03_stress_overlapping/overlapping__case_27,True,True
03_stress_overlapping/overlapping__case_28,True,True
03_stress_overlapping/overlapping__case_29,True,True
03_stress_overlapping/overlapping__case_30,True,True
04_stress_encoding/mixed_encoding__case_01,True,True
04_stress_encoding/mixed_encoding__case_02,True,True
04_stress_encoding/mixed_encoding__case_03,True,True
04_stress_encoding/mixed_encoding__case_04,True,True
04_stress_encoding/mixed_encoding__case_05,True,True
04_stress_encoding/mixed_encoding__case_06,True,True
04_stress_encoding/mixed_encoding__case_07,True,True
04_stress_encoding/mixed_encoding__case_08,True,True
04_stress_encoding/mixed_encoding__case_09,True,True
04_stress_encoding/mixed_encoding__case_10,True,True
04_stress_encoding/mixed_encoding__case_11,True,True
04_stress_encoding/mixed_encoding__case_12,True,True
04_stress_encoding/mixed_encoding__case_13,True,True
04_stress_encoding/mixed_encoding__case_14,True,True
04_stress_encoding/mixed_encoding__case_15,True,True
04_stress_encoding/mixed_encoding__case_16,True,True
04_stress_encoding/mixed_encoding__case_17,True,True
04_stress_encoding/mixed_encoding__case_18,True,True
04_stress_encoding/mixed_encoding__case_19,True,True
04_stress_encoding/mixed_encoding__case_20,True,True
04_stress_encoding/mixed_encoding__case_21,True,True
04_stress_encoding/mixed_encoding__case_22,True,True
04_stress_encoding/mixed_encoding__case_23,True,True
04_stress_encoding/mixed_encoding__case_24,True,True
04_stress_encoding/mixed_encoding__case_25,True,True
04_stress_encoding/mixed_encoding__case_26,True,True
04_stress_encoding/mixed_encoding__case_27,True,True
04_stress_encoding/mixed_encoding__case_28,True,True
04_stress_encoding/mixed_encoding__case_29,True,True
04_stress_encoding/mixed_encoding__case_30,True,True
05_stress_math/math_heavy__case_01,True,True
05_stress_math/math_heavy__case_02,True,True
05_stress_math/math_heavy__case_03,True,True
05_stress_math/math_heavy__case_04,True,True
05_stress_math/math_heavy__case_05,True,True
05_stress_math/math_heavy__case_06,True,True
05_stress_math/math_heavy__case_07,True,True
05_stress_math/math_heavy__case_08,True,True
05_stress_math/math_heavy__case_09,True,True
05_stress_math/math_heavy__case_10,True,True
05_stress_math/math_heavy__case_11,True,True
05_stress_math/math_heavy__case_12,True,True
05_stress_math/math_heavy__case_13,True,True
05_stress_math/math_heavy__case_14,True,True
05_stress_math/math_heavy__case_15,True,True
05_stress_math/math_heavy__case_16,True,True
05_stress_math/math_heavy__case_17,True,True
05_stress_math/math_heavy__case_18,True,True
05_stress_math/math_heavy__case_19,True,True
05_stress_math/math_heavy__case_20,True,True
05_stress_math/math_heavy__case_21,True,True
05_stress_math/math_heavy__case_22,True,True
05_stress_math/math_heavy__case_23,True,True
05_stress_math/math_heavy__case_24,True,True
05_stress_math/math_heavy__case_25,True,True
05_stress_math/math_heavy__case_26,True,True
05_stress_math/math_heavy__case_27,True,True
05_stress_math/math_heavy__case_28,True,True
05_stress_math/math_heavy__case_29,True,True
05_stress_math/math_heavy__case_30,True,True
06_stress_links/link_flood__case_01,True,True
06_stress_links/link_flood__case_02,True,True
06_stress_links/link_flood__case_03,True,True
06_stress_links/link_flood__case_04,True,True
06_stress_links/link_flood__case_05,True,True
06_stress_links/link_flood__case_06,True,True
06_stress_links/link_flood__case_07,True,True
06_stress_links/link_flood__case_08,True,True
06_stress_links/link_flood__case_09,True,True
06_stress_links/link_flood__case_10,True,True
06_stress_links/link_flood__case_11,True,True
06_stress_links/link_flood__case_12,True,True
06_stress_links/link_flood__case_13,True,True
06_stress_links/link_flood__case_14,True,True
06_stress_links/link_flood__case_15,True,True
06_stress_links/link_flood__case_16,True,True
06_stress_links/link_flood__case_17,True,True
06_stress_links/link_flood__case_18,True,True
06_stress_links/link_flood__case_19,True,True
06_stress_links/link_flood__case_20,True,True
06_stress_links/link_flood__case_21,True,True
06_stress_links/link_flood__case_22,True,True
06_stress_links/link_flood__case_23,True,True
06_stress_links/link_flood__case_24,True,True
06_stress_links/link_flood__case_25,True,True
06_stress_links/link_flood__case_26,True,True
06_stress_links/link_flood__case_27,True,True
06_stress_links/link_flood__case_28,True,True
06_stress_links/link_flood__case_29,True,True
06_stress_links/link_flood__case_30,True,True
07_stress_html/html_chaos__case_01,True,True
07_stress_html/html_chaos__case_02,True,True
07_stress_html/html_chaos__case_03,True,True
07_stress_html/html_chaos__case_04,True,True
07_stress_html/html_chaos__case_05,True,True
07_stress_html/html_chaos__case_06,True,True
07_stress_html/html_chaos__case_07,True,True
07_stress_html/html_chaos__case_08,True,True
07_stress_html/html_chaos__case_09,True,True
07_stress_html/html_chaos__case_10,True,True
07_stress_html/html_chaos__case_11,True,True
07_stress_html/html_chaos__case_12,True,True
07_stress_html/html_chaos__case_13,True,True
07_stress_html/html_chaos__case_14,True,True
07_stress_html/html_chaos__case_15,True,True
07_stress_html/html_chaos__case_16,True,True
07_stress_html/html_chaos__case_17,True,True
07_stress_html/html_chaos__case_18,True,True
07_stress_html/html_chaos__case_19,True,True
07_stress_html/html_chaos__case_20,True,True
07_stress_html/html_chaos__case_21,True,True
07_stress_html/html_chaos__case_22,True,True
07_stress_html/html_chaos__case_23,True,True
07_stress_html/html_chaos__case_24,True,True
07_stress_html/html_chaos__case_25,True,True
07_stress_html/html_chaos__case_26,True,True
07_stress_html/html_chaos__case_27,True,True
07_stress_html/html_chaos__case_28,True,True
07_stress_html/html_chaos__case_29,True,True
07_stress_html/html_chaos__case_30,True,True
08_stress_indentation/bad_indentation__case_01,True,True
08_stress_indentation/bad_indentation__case_02,True,True
08_stress_indentation/bad_indentation__case_03,True,True
08_stress_indentation/bad_indentation__case_04,True,True
08_stress_indentation/bad_indentation__case_05,True,True
08_stress_indentation/bad_indentation__case_06,True,True
08_stress_indentation/bad_indentation__case_07,True,True
08_stress_indentation/bad_indentation__case_08,True,True
08_stress_indentation/bad_indentation__case_09,True,True
08_stress_indentation/bad_indentation__case_10,True,True
08_stress_indentation/bad_indentation__case_11,True,True
08_stress_indentation/bad_indentation__case_12,True,True
08_stress_indentation/bad_indentation__case_13,True,True
08_stress_indentation/bad_indentation__case_14,True,True
08_stress_indentation/bad_indentation__case_15,True,True
08_stress_indentation/bad_indentation__case_16,True,True
08_stress_indentation/bad_indentation__case_17,True,True
08_stress_indentation/bad_indentation__case_18,True,True
08_stress_indentation/bad_indentation__case_19,True,True
08_stress_indentation/bad_indentation__case_20,True,True
08_stress_indentation/bad_indentation__case_21,True,True
08_stress_indentation/bad_indentation__case_22,True,True
08_stress_indentation/bad_indentation__case_23,True,True
08_stress_indentation/bad_indentation__case_24,True,True
08_stress_indentation/bad_indentation__case_25,True,True
08_stress_indentation/bad_indentation__case_26,True,True
08_stress_indentation/bad_indentation__case_27,True,True
08_stress_indentation/bad_indentation__case_28,True,True
08_stress_indentation/bad_indentation__case_29,True,True
08_stress_indentation/bad_indentation__case_30,True,True
09_stress_huge_tables/huge_tables__case_01,True,True
09_stress_huge_tables/huge_tables__case_02,True,True
09_stress_huge_tables/huge_tables__case_03,True,True
09_stress_huge_tables/huge_tables__case_04,True,True
09_stress_huge_tables/huge_tables__case_05,True,True
09_stress_huge_tables/huge_tables__case_06,True,True
09_stress_huge_tables/huge_tables__case_07,True,True
09_stress_huge_tables/huge_tables__case_08,True,True
09_stress_huge_tables/huge_tables__case_09,True,True
09_stress_huge_tables/huge_tables__case_10,True,True
09_stress_huge_tables/huge_tables__case_11,True,True
09_stress_huge_tables/huge_tables__case_12,True,True
09_stress_huge_tables/huge_tables__case_13,True,True
09_stress_huge_tables/huge_tables__case_14,True,True
09_stress_huge_tables/huge_tables__case_15,True,True
09_stress_huge_tables/huge_tables__case_16,True,True
09_stress_huge_tables/huge_tables__case_17,True,True
09_stress_huge_tables/huge_tables__case_18,True,True
09_stress_huge_tables/huge_tables__case_19,True,True
09_stress_huge_tables/huge_tables__case_20,True,True
10_frontmatter_valid/fm_valid_bom,True,True
10_frontmatter_valid/fm_valid_ellipsis_close,True,True
10_frontmatter_valid/fm_valid_folded,True,True
10_frontmatter_valid/fm_valid_simple,True,True
11_frontmatter_invalid/fm_invalid_in_code,True,True
11_frontmatter_invalid/fm_invalid_inline,True,True
11_frontmatter_invalid/fm_invalid_json,True,True
11_frontmatter_invalid/fm_invalid_nbsp_fence,True,True
11_frontmatter_invalid/fm_invalid_not_bof,True,True
11_frontmatter_invalid/fm_invalid_toml,True,True
11_frontmatter_invalid/fm_invalid_trailing_spaces,True,True
11_frontmatter_invalid/fm_invalid_unclosed,True,True
12_frontmatter_stress/front_matter__case_01,True,True
12_frontmatter_stress/front_matter__case_02,True,True
12_frontmatter_stress/front_matter__case_03,True,True
12_frontmatter_stress/front_matter__case_04,True,True
12_frontmatter_stress/front_matter__case_05,True,True
12_frontmatter_stress/front_matter__case_06,True,True
12_frontmatter_stress/front_matter__case_07,True,True
12_frontmatter_stress/front_matter__case_08,True,True
12_frontmatter_stress/front_matter__case_09,True,True
12_frontmatter_stress/front_matter__case_10,True,True
12_frontmatter_stress/front_matter__case_11,True,True
12_frontmatter_stress/front_matter__case_12,True,True
12_frontmatter_stress/front_matter__case_13,True,True
12_frontmatter_stress/front_matter__case_14,True,True
12_frontmatter_stress/front_matter__case_15,True,True
12_frontmatter_stress/front_matter__case_16,True,True
12_frontmatter_stress/front_matter__case_17,True,True
12_frontmatter_stress/front_matter__case_18,True,True
12_frontmatter_stress/front_matter__case_19,True,True
12_frontmatter_stress/front_matter__case_20,True,True
12_frontmatter_stress/front_matter__case_21,True,True
12_frontmatter_stress/front_matter__case_22,True,True
12_frontmatter_stress/front_matter__case_23,True,True
12_frontmatter_stress/front_matter__case_24,True,True
12_frontmatter_stress/front_matter__case_25,True,True
12_frontmatter_stress/front_matter__case_26,True,True
12_frontmatter_stress/front_matter__case_27,True,True
12_frontmatter_stress/front_matter__case_28,True,True
12_frontmatter_stress/front_matter__case_29,True,True
12_frontmatter_stress/front_matter__case_30,True,True
13_security/hdg_code_fence,True,True
13_security/hdg_escaped_hash,True,True
13_security/hdg_fullwidth_hash,True,True
13_security/hdg_in_blockquote,True,True
13_security/hdg_in_list_item,True,True
13_security/hdg_list_cont_4sp,True,True
13_security/hdg_nbsp_after_hash,True,True
13_security/hdg_no_space,True,True
13_security/hdg_setext_valid,True,True
13_security/hdg_three_space_indent,True,True
13_security/hdg_trailing_hashes,True,True
13_security/hdg_unclosed_fence_then_hash,True,True
13_security/sec_confusables,True,True
13_security/sec_data_uri_image,True,True
13_security/sec_footnote_injection,True,True
13_security/sec_html_comment,True,True
13_security/sec_html_inline,True,True
13_security/sec_html_script,True,True
13_security/sec_img_onerror,True,True
13_security/sec_kitchen_sink,True,True
13_security/sec_link_schemes,True,True
13_security/sec_link_wrapped_image,True,True
13_security/sec_prompt_injection,True,True
13_security/sec_relative_paths,True,True
14_tables/md_brutal_tables,True,True
14_tables/md_brutal_tables_nohtml,True,True
14_tables/tbl_align_mismatch,True,True
14_tables/tbl_align_mismatch_bad,True,True
14_tables/tbl_clean_2x2,True,True
14_tables/tbl_escaped_pipes_rect,True,True
14_tables/tbl_in_blockquote,True,True
14_tables/tbl_in_code_fence,True,True
14_tables/tbl_large_rect,True,True
14_tables/tbl_loose_pipes,True,True
14_tables/tbl_missing_header_sep,True,True
14_tables/tbl_ragged_missing_cells,True,True
14_tables/tbl_ragged_rows,True,True
14_tables/tbl_trailing_pipes_rect,True,True
15_integration/md_brutal_test,True,True
15_integration/md_brutal_test_commonmark,True,True
15_integration/md_brutal_test_gfm,True,True
15_integration/md_nested_lists_checklists,True,True
15_integration/md_test_document,True,True
15_integration/test_edge_cases,True,True
15_integration/test_mixed_nested_structures,True,True
16_performance/test_code_blocks,True,True
16_performance/test_performance_large,True,True
16_performance/test_requirements,True,True
17_blockquotes/basic_and_nested_blockquotes,True,True
17_blockquotes/blockquote_with_code_and_hr,True,True
17_blockquotes/blockquote_with_table,True,True
17_blockquotes/blockquote_wrapping_list_and_tasks,True,True
17_blockquotes/deep_nested_blockquotes,True,True
17_blockquotes/empty_blockquote,True,True
17_blockquotes/lazy_continuation,True,True
17_blockquotes/multiple_code_blocks,True,True
18_lists/blank_lines_between_items,True,True
18_lists/continuation_paragraphs,True,True
18_lists/deep_nesting,True,True
18_lists/lazy_continuation,True,True
18_lists/list_with_blockquotes,True,True
18_lists/list_with_code_blocks,True,True
18_lists/malformed_indentation,True,True
18_lists/mixed_bullet_types,True,True
18_lists/multiple_paragraphs_per_item,True,True
18_lists/ordered_custom_start,True,True
18_lists/ordered_variants_and_start,True,True
18_lists/tight_vs_loose,True,True
18_lists/unordered_mixed_bullets,True,True
19_tasklists/basic_tasklist_states,True,True
19_tasklists/checkbox_not_at_start,True,True
19_tasklists/deep_nested_tasks,True,True
19_tasklists/invalid_checkbox_syntax,True,True
19_tasklists/malformed_checkboxes,True,True
19_tasklists/mixed_regular_and_tasks,True,True
19_tasklists/nested_tasks_and_lists,True,True
19_tasklists/stress_100_tasks,True,True
19_tasklists/task_with_code_block,True,True
19_tasklists/task_with_continuation,True,True
20_strikethrough_hr/almost_hr_edge_cases,True,True
20_strikethrough_hr/gfm_strike_and_hr,True,True
20_strikethrough_hr/hr_in_containers,True,True
20_strikethrough_hr/hr_variants_with_spaces,True,True
20_strikethrough_hr/strike_inside_links_and_code,True,True
20_strikethrough_hr/strikethrough_multiline,True,True
20_strikethrough_hr/strikethrough_with_bold_italic,True,True
21_inline_formatting/adjacent_emphasis_no_space,True,True
21_inline_formatting/bold_italic_code_combos,True,True
21_inline_formatting/code_with_special_chars,True,True
21_inline_formatting/emphasis_adjacent_punctuation_edges,True,True
21_inline_formatting/emphasis_at_word_boundaries,True,True
21_inline_formatting/escaped_emphasis,True,True
21_inline_formatting/images_with_formatted_alt,True,True
21_inline_formatting/intraword_emphasis,True,True
21_inline_formatting/links_with_formatting,True,True
21_inline_formatting/mixed_delimiter_types,True,True
21_inline_formatting/triple_quadruple_markers,True,True
21_inline_formatting/unicode_in_emphasis,True,True
22_linebreaks_spacing/blank_line_semantics,True,True
22_linebreaks_spacing/hard_vs_soft_breaks,True,True
22_linebreaks_spacing/multiple_blank_lines_and_tabs,True,True
22_linebreaks_spacing/trailing_spaces_detection,True,True
22_linebreaks_spacing/windows_line_endings,True,True
23_autolink_linkify/email_variations,True,True
23_autolink_linkify/false_positives,True,True
23_autolink_linkify/no_link_in_code,True,True
23_autolink_linkify/raw_urls_emails_i18n,True,True
23_autolink_linkify/urls_with_special_chars,True,True
24_images_references/case_sensitivity_and_special_chars,True,True
24_images_references/image_ref_edge_cases,True,True
24_images_references/missing_refs_and_alt,True,True
24_images_references/nested_and_circular_refs,True,True
24_images_references/ref_style_links_images,True,True
25_definition_lists/basic_definition_list,True,True
25_definition_lists/compact_vs_loose_defs,True,True
25_definition_lists/link_terms_and_titles,True,True
25_definition_lists/malformed_missing_colon,True,True
25_definition_lists/mixed_with_paragraphs_and_lists,True,True
25_definition_lists/nested_definitions,True,True
25_definition_lists/term_with_multiple_blocks,True,True
26_admonitions_containers/admonition_with_list_and_quote,True,True
26_admonitions_containers/container_with_title_and_attrs,True,True
26_admonitions_containers/malformed_missing_end,True,True
26_admonitions_containers/nested_with_code_and_table,True,True
26_admonitions_containers/note_warning_nested,True,True
26_admonitions_containers/types_note_warning_tip_danger,True,True
27_heading_ids_slugs/custom_ids_collision,True,True
27_heading_ids_slugs/duplicate_and_non_ascii,True,True
27_heading_ids_slugs/emoji_in_headings_and_long_text,True,True
27_heading_ids_slugs/rtl_text_heading,True,True
27_heading_ids_slugs/special_chars_handling,True,True
28_emoji_shortcodes/emoji_adjacent_to_text,True,True
28_emoji_shortcodes/emoji_in_headings_lists_tables,True,True
28_emoji_shortcodes/emoji_in_links_and_code,True,True
28_emoji_shortcodes/emoji_vs_colons,True,True
28_emoji_shortcodes/invalid_and_escaped_colons,True,True
29_entities_escapes/entity_boundaries_and_whitespace,True,True
29_entities_escapes/escaped_backslashes_and_edges,True,True
29_entities_escapes/html_entities_and_escapes,True,True
29_entities_escapes/invalid_entities_and_double_amp,True,True
29_entities_escapes/numeric_entities_decimal_hex,True,True
30_fenced_code_info/backtick_and_tilde_mixture,True,True
30_fenced_code_info/highlight_lines_meta,True,True
30_fenced_code_info/info_strings_and_attrs,True,True
30_fenced_code_info/invalid_info_string,True,True
30_fenced_code_info/no_language_specified,True,True
30_fenced_code_info/special_chars_in_info,True,True
31_details_summary_html/details_with_markdown_content,True,True
31_details_summary_html/details_without_closing_tag,True,True
31_details_summary_html/malformed_missing_summary,True,True
31_details_summary_html/nested_details_markdown_inside,True,True
31_details_summary_html/summary_with_inline_markup,True,True
32_toc_invariants/deep_nesting_and_skips,True,True
32_toc_invariants/duplicate_titles_different_sections,True,True
32_toc_invariants/empty_headings_and_bounds,True,True
32_toc_invariants/toc_tree_bounds,True,True
